time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-10-10T19:28:02.900Z,38.8108,-122.8235,2.3,2.7,Md,,36,0.00898315,0.08,nc,nc72084836,2013-10-10T22:42:06.199Z,"6km WNW of The Geysers, California",earthquake
2013-10-09T18:34:52.000Z,38.8355,-122.7693,1.9,2.7,Md,,43.2,0.00898315,0.08,nc,nc72084251,2013-11-19T23:45:20.000Z,"4km WNW of Cobb, California",earthquake
2013-10-09T05:21:56.000Z,38.7805,-122.7483,4.2,2.7,Md,,46.8,0.01796631,0.07,nc,nc72083956,2013-10-09T13:24:23.989Z,"0km ENE of The Geysers, California",earthquake
2013-10-09T04:53:40.100Z,36.642,-121.2632,6.9,2.9,Md,,39.6,0.02694946,0.08,nc,nc72083941,2013-11-11T04:38:49.000Z,"21km SSE of Ridgemark, California",earthquake
2013-10-08T14:06:41.100Z,38.8357,-122.7815,1.7,2.6,Md,,32.4,0.00898315,0.07,nc,nc72083531,2013-11-24T15:26:07.000Z,"5km WNW of Cobb, California",earthquake
2013-10-08T09:57:52.300Z,38.8307,-122.8063,2.5,2.7,Md,,43.2,0.01796631,0.07,nc,nc72083416,2013-10-08T14:11:21.576Z,"7km W of Cobb, California",earthquake
2013-10-08T04:07:34.100Z,38.7765,-122.7195,2.4,2.5,Md,,46.8,0,0.09,nc,nc72083281,2013-10-08T12:10:15.280Z,"3km E of The Geysers, California",earthquake
2013-10-07T04:26:08.200Z,37.8837,-122.2327,7,3,Mw,,14.4,0.00898315,0.14,nc,nc72082611,2013-11-17T23:17:30.000Z,"3km ENE of Berkeley, California",earthquake
2013-10-05T10:55:50.500Z,36.7378,-121.3607,12,2.6,Md,,72,0.03593261,0.12,nc,nc72081361,2013-10-05T13:34:10.261Z,"8km S of Ridgemark, California",earthquake
2013-10-05T00:05:58.700Z,36.544,-121.134,5,2.9,Md,,32.4,0.05389892,0.09,nc,nc72081146,2013-11-16T00:39:52.000Z,"21km NE of Soledad, California",earthquake
2013-10-02T20:38:31.900Z,38.8328,-122.8005,2,3.1,Mw,,43.2,0.00898315,0.07,nc,nc72080226,2013-11-18T15:42:45.000Z,"6km W of Cobb, California",earthquake
2013-10-01T20:44:39.600Z,38.834,-122.8022,2.3,2.5,Md,,32.4,0.00898315,0.06,nc,nc72079621,2013-10-02T04:47:20.402Z,"6km W of Cobb, California",earthquake
2013-10-01T17:51:26.100Z,38.8343,-122.7948,2.5,2.7,Md,,39.6,0.00898315,0.07,nc,nc72079496,2013-10-02T01:54:02.956Z,"6km WNW of Cobb, California",earthquake
2013-09-30T00:32:52.700Z,38.8057,-122.7383,2.7,2.8,Md,,57.6,0.01796631,0.07,nc,nc72078826,2013-10-12T23:14:26.000Z,"2km SW of Cobb, California",earthquake
2013-09-26T07:56:39.500Z,36.7562,-121.3497,8.2,2.8,H,,169.2,0.01796631,0.05,nc,nc72076716,2013-09-26T18:32:02.742Z,"6km SSE of Ridgemark, California",earthquake
2013-09-21T09:10:52.800Z,38.8275,-122.802,2.2,2.5,Md,,32.4,0.00898315,0.07,nc,nc72074296,2013-09-23T21:28:09.125Z,"6km W of Cobb, California",earthquake
2013-09-20T12:44:48.800Z,39.3813,-123.2997,2.9,2.6,Md,,25.2,0.17966306,0.09,nc,nc72073776,2013-10-18T10:13:22.000Z,"5km ESE of Willits, California",earthquake
2013-09-18T21:14:51.000Z,38.8297,-122.7982,1.7,2.5,Md,,28.8,0.00898315,0.07,nc,nc72072781,2013-09-19T22:19:06.123Z,"6km W of Cobb, California",earthquake
2013-09-12T19:02:43.900Z,39.2287,-122.7018,12.7,3.1,Ml,,36,0.11678099,0.15,nc,nc72068926,2013-11-19T17:37:34.000Z,"17km NNE of Lucerne, California",earthquake
2013-09-11T22:50:19.200Z,37.5395,-121.9262,10.7,2.9,Md,,28.8,0.01796631,0.19,nc,nc72068371,2013-11-19T17:52:03.878Z,"5km E of Fremont, California",earthquake
2013-09-10T21:52:24.400Z,37.9443,-122.0612,11.9,2.9,Md,,39.6,0.03593261,0.18,nc,nc72067531,2013-11-19T17:52:29.241Z,"0km S of Pleasant Hill, California",earthquake
2013-09-09T11:08:03.400Z,36.5747,-121.0338,8.4,2.6,Md,,36,0.00898315,0.18,nc,nc72066596,2013-09-10T03:38:07.352Z,"31km ENE of Soledad, California",earthquake
2013-09-07T02:47:44.100Z,38.8182,-122.7993,3.3,2.5,Md,,21.6,0.00898315,0.06,nc,nc72065286,2013-09-10T03:09:07.817Z,"5km NW of The Geysers, California",earthquake
2013-09-06T09:06:59.300Z,37.5155,-121.885,6.9,2.5,md,,28,0.009,1.13,us,usb000jkd2,2013-11-15T03:41:30.951Z,"9km ESE of Fremont, California",earthquake
2013-09-01T20:53:02.000Z,37.3652,-121.7227,9.5,2.5,Md,,36,0.03593261,0.13,nc,nc72061971,2013-09-04T05:14:07.032Z,"8km ESE of East Foothills, California",earthquake
2013-08-31T20:02:07.900Z,38.8347,-122.88,3.4,2.9,Md,,46.8,0,0.06,nc,nc72060816,2013-11-06T01:33:37.000Z,"12km ENE of Cloverdale, California",earthquake
2013-08-31T20:02:02.100Z,38.8323,-122.8768,3.2,2.5,Md,,28.8,0.00898315,0.06,nc,nc72060811,2013-09-18T17:22:50.968Z,"12km ENE of Cloverdale, California",earthquake
2013-08-30T19:28:21.900Z,38.8122,-122.7883,3.6,2.6,Md,,21.6,0.00898315,0.07,nc,nc72060046,2013-09-05T00:29:08.011Z,"4km NW of The Geysers, California",earthquake
